英文,詞性,中文,級別
amount,n./v.,總數,2
ancient,adj.,古代的,2
anger,n.,忿怒,2
angle,n.,角,2
ankle,n.,踝,2
anytime,adv.,任何時候,2
anyway,adv.,無論如何,2
anywhere/anyplace,adv.,任何地方,2
ape,n.,無尾猿,2
appearance,n.,出現,2
appetite,n.,食欲,2
apply,v.,塗,2
appreciate,v.,賞識,2
approach,n./v.,接近,2
argue(argument),v./(n.),爭論,2
army,n.,軍隊,2
arrange(ment),v./(n.),安排,2
arrival,n.,到達,2
arrow,n.,箭,2
article,n.,文章,2
artist,n.,藝術家,2
asleep,adj.,睡著的,2
attempt,n./v.,嘗試,2
attend,v.,參加,2
attention,n.,注意,2
author,n./v.,作家,2
available,adj.,可利用的,2
average,adj./n./v.,平均,2
avoid,v.,避免,2
backpack,n./v.,遠足用的背包,2
backward,adj.,向後地,2
backward/backwards,adv.,向後地,2
badminton,n.,羽毛球運動,2
bake,v.,烘焙,2
bakery,n.,面包店,2
balance,n./v.,平衡,2
balcony,n.,陽臺,2
balloon,n.,氣球,2
bar,n./v.,條,2
barbecue,n./v.,烤肉,2
barber,n.,理發師,2
bark,n./v.,樹皮,2
base,n./v.,底部,2
basic,adj.,基本原理,2
basics,n.,最簡單但最重要的部分,2
basis,n.,基礎,2
bathe,v.,沐浴,2
battle,n./v.,戰役,2
beard,n.,胡須,2
beat,v./n.,心跳(聲),2
beauty,n.,美,2
beer,n.,啤酒,2
beg,v.,乞求,2
beginner,n.,初學者,2
behave,v.,舉止端正,2
being,n.,存在,2
belief,n.,信念,2
bend,v./n.,變彎曲,2
better,adj./adv./n./v.,較好的,2
beyond,prep./adv.,超過,2
bill,n./v.,帳單,2
billion,n.,十億,2
birth,n.,出生,2
biscuit,n.,餅幹,2
bit,n.,少量,2
blackboard,n.,黑板,2
blame,v./n.,過失,2
blank,adj./n.,空格,2
blanket,n./v.,毛毯,2
blood,n.,血,2
board,n./v.,木板,2
boil,n./v.,煮沸,2
bone,n.,骨頭,2
bookstore,n.,書店,2
border,n./v.,邊緣,2
bother,v./n.,煩擾,2
brain,n.,腦,2
branch,n./v.,樹枝,2
brand,n.,商標,2
brief,adj./n./v.,摘要,2
brilliant,adj.,光輝的,2
broad,adj.,寬廣的,2
brush,n./v.,刷子,2
building,n.,建築物,2
bun,n.,小面包,2
burden,n./v.,負擔,2
burn,v./n.,燒,2
burst,n./v.,破裂,2
businessman,n.,商人,2
cabbage,n.,卷心菜,2
café/cafe,n.,咖啡館,2
cage,n./v.,籠,2
calendar,n.,日歷,2
calm,v./adj./n,平穩,2
camel,n.,駱駝,2
cancel,v.,取消,2
cancer,n.,癌,2
candle,n.,蠟燭,2
capital,n./adj.,首都,2
cartoon,n./v.,卡通畫,2
cash,n./v.,現金,2
castle,n.,城堡,2
cause,n./v.,原因,2
ceiling,n.,天花板,2
cell,n.,單元,2
centimeter,n.,釐米,2
central,adj.,中央的,2
century,n.,世紀,2
cereal,n.,谷類食品,2
chain,n./v.,鏈,2
chalk,n./v.,粉筆,2
challenge,n./v.,挑戰,2
channel,n./v.,海峽,2
chapter,n.,章,2
character,n.,個性,2
charge,n./v.,指控,2
chart,n.,圖表,2
chase,n./v.,追求,2
cheat,v./n.,欺騙,2
cheer,v./n.,愉快,2
chemical,adj./n.,化學藥品,2
chess,n.,國際象棋,2
chief,adj./n.,領袖,2
childhood,n.,孩童時期,2
childish,adj.,天真的,2
china,n.,中國,2
chopstick(s),n.,筷子,2
claim,n./v.,要求,2
clap,v./n.,拍手,2
classic,adj./n.,古典作品,2
classical,adj.,古典的,2
classmate,n.,同班同學,2
clever,adj.,聰明的,2
click,v./n.,咔噠聲,2
climate,n.,氣候,2
cloth,n.,布料,2
clothing,n.,衣服,2
cloudy,adj.,多雲的,2
coal,n.,煤,2
coast,n.,海岸,2
cockroach/roach,n.,蟑螂,2
cocoa,n.,可可粉,2
coin,n./v.,硬幣,2
cola/Coke,n.,可樂,2
college,n.,學院,2
comb,n./v.,頭梳,2
combine,v.,(使)聯合,2
comic(s),adj./n.,喜劇的,2
command,n./v.,命令,2
commercial,adj./n.,商業的,2
company,n.,公司,2
compare,v.,比較,2
complete,adj./v.,完全的,2
complex,adj./n.,綜合體,2
concern,n./v.,關心,2
conclude,v.,結束,2
condition,n./v.,情況,2
confident,adj.,有信心的,2
conflict,n./v.,戰鬥,2
congratulation(s),n.,祝賀,2
connection,n.,連接,2
consider,v.,考慮,2
consideration,n.,考慮,2
contact,n./v.,聯繫,2
contain,v.,包含,2
continue,v.,繼續,2
contract,n./v.,合約,2
control,n./v.,控制,2
conversation,n.,會話,2
corn,n.,玉蜀黍,2
countryside,n.,鄉下地方,2
couple,n./v.,對,2
courage,n.,勇氣,2
court,n.,法院,2
cowboy,n.,牛仔,2
crayon,n.,蠟筆,2
cream,n./adj.,乳酪,2
create,v.,創造,2
crime,n.,犯罪,2
crisis,n.,危機,2
crow,n.,啼叫,2
crowd,n./v.,群眾,2
cultural,adj.,文化的,2
culture,n.,文化,2
cure,n./v.,治療,2
curious,adj.,好奇的,2
current,adj./n.,湧流,2
curtain,n./v.,帳,2
custom,n.,習慣,2
customer,n.,消費者,2
cycle,n./v.,周期,2
daily,adj./adv./n.,每日的,2
damage,n./v.,損害,2
dancer,n.,舞蹈演員,2
danger,n.,危險,2
data,n.,資料,2
deaf,adj.,聾的,2
debate,n./v.,辯論,2
debt,n.,債務,2
decision,n.,決定,2
deer,n.,鹿,2
degree,n.,程度,2
delay,n./v.,耽擱,2
delicious,adj.,美味的,2
deliver,v.,遞送,2
delivery,n.,遞送,2
dentist,n.,牙科醫生,2
deny,v.,否認,2
department,n.,部門,2
depend,v.,靠,2
depth,n.,深度,2
describe,v.,描述,2
description,n.,描述,2
desert,n./v.,沙漠,2
design,n./v.,設計,2
detail,n./v.,細節,2
develop(ment),v./(n.),發展,2
dial,n./v.,刻度盤,2
dialogue,n.,對話,2
diamond,n.,鑽石,2
diary,n.,日記,2
diet,n./v.,日常飲食,2
difference,n.,不同,2
difficulty,n.,困難,2
direct,adj./v./adv.,直接的,2
direction,n.,方向,2
director,n.,主管,2
disagree(ment),v./(n.),不同意,2
disappear,v.,消失,2
discover,v.,發現,2
discovery,n.,發現,2
discuss,v.,討論,2
discussion,n.,討論,2
disease,n.,疾病,2
display,n./v.,顯示,2
distance,n.,距離,2
distant,adj.,遠的,2
divide,v./n.,分開,2
division,n.,分,2
domestic,adj.,家庭的,2
dot,n./v.,點,2
double,adj./v./n./adv.,兩倍,2
doubt,n./v.,懷疑,2
dove,n.,鴿子,2
download,v.,下載,2
downstairs,adv./n./adj.,樓下,2
dragon,n.,龍,2
drama,n.,戲劇,2
drawer,n.,抽屜,2
drawing,n.,圖畫,2
drug,n./v.,藥,2
dryer,n.,幹衣機,2
due,adj./adv./n.,應得的東西,2
dull,adj./v.,鈍的,2
duty,n.,責任,2
eagle,n.,鷹,2
earn,v.,賺得,2
earring(s),n.,耳環,2
earthquake,n.,地震,2
ease,n./v.,安樂,2
eastern,adj.,東方人,2
edge,n./v.,邊緣,2
edition,n.,版本,2
education,n.,教育,2
effect,n./v.,結果,2
effective,adj.,有效的,2
effort,n.,努力,2
elder,n./adj.,年長者,2
electric,adj.,電的,2
electrical,adj.,電的,2
emotion,n.,情緒,2
emphasize,v.,強調,2
employ(ment),v./(n.),僱用,2
employee,n.,職員,2
employer,n.,僱主,2
empty,adj./v.,空的,2
encourage(ment),v./(n.),鼓勵,2
ending,n.,終止,2
enemy,n.,敵人,2
energy,n.,精力,2
engine,n.,引擎,2
entire,adj.,整個,2
entrance,n.,入口,2
environment,n.,環境,2
environmental,adj.,周圍的,2
equal,adj./v./n.,對手,2
escape,v./n.,逃亡,2
especially,adv.,尤其,2
essay,n.,隨筆,2
eve,n.,前夕,2
event,n.,事件,2
evil,n./adj.,邪惡,2
exact,adj.,精確的,2
examination/exam,n.,考試,2
examine,v.,檢查,2
excite(ment),v./(n.),使興奮,2
excuse,v./n.,原諒,2
exist,v.,存在,2
existence,n.,存在,2
exit,n./v.,出口,2
expense,n.,費用,2
expert,n./adj.,專家,2
express,v./adj./adv./n.,快車,2
expression,n.,表達,2
extra,adj./adv./n.,額外的事物,2
eyebrow/brow,n.,眉毛,2
factor,n.,因素,2
failure,n.,失敗,2
fair,adj./n./adv.,展覽會,2
false,adj.,錯誤的,2
fashion,n./v.,流行,2
fate,n.,命運,2
fault,n./v.,過錯,2
favor,n./v.,好意,2
favorite,adj./n.,喜歡的事物,2
fear,n./v.,恐怖,2
feature,n./v.,面孔的一部分(如眼、口等),2
fee,n.,費用,2
feeling,n.,摸,2
fellow,n.,男人,2
female,adj./n.,女性,2
fever,n.,發燒,2
field,n.,領域,2
figure,n./v.,數字,2
final,adj./n.,期末考試,2
fireman/firewoman,n.,消防員,2
firm,n./adj./v./adv.,公司,2
fisherman,n.,漁夫,2
fit,v./adj./n./adv.,適宜,2
fix,v./n.,使固定,2
flag,n.,標志,2
flat,adj./adv./n.,平坦的,2
flight,n.,飛行,2
flow,n./v.,流程,2
flu,n.,流感,2
focus,n./v.,焦點,2
fog,n./v.,霧,2
folk,n.,人們,2
following,adj./prep./n.,下列各項,2
foolish,adj.,愚蠢的,2
football,n.,足球,2
force,n./v.,力量,2
forest,n.,森林,2
forgive,v.,原諒,2
form,n./v.,形狀,2
formal,adj.,正式的,2
former,adj.,從前的,2
forth,adv.,往前,2
forward,adj./n./v.,向前的,2
forward/forwards,adv.,向前地,2
found,v.,建立,2
fox,n.,狐狸,2
freedom,n.,自由,2
friendship,n.,友誼,2
fries,n.,炸薯條（French fries）,2
fry,v./n.,油炸食物,2
function,n./v.,官能,2
furniture,n.,家具,2
further,adv./adj./v.,更遠的,2
gain,v./n.,增益,2
garbage,n.,垃圾,2
gardener,n.,園丁,2
garlic,n.,大蒜,2
gather,v.,集合,2
general,adj./n.,一般,2
generous,adj.,慷慨的,2
gentle,adj.,溫和的,2
gentleman,n.,紳士,2
giraffe,n.,長頸鹿,2
glue,n./v.,膠,2
goal,n.,目標,2
goat,n.,山羊,2
gold,n./adj.,黃金,2
golden,adj.,金的,2
goose,n.,鵝,2
govern,v.,統治,2
government,n.,政府,2
gradual,adj.,逐漸的,2
grain,n.,谷粒,2
gram,n.,克,2
grand,adj.,莊重的,2
grape,n.,葡萄,2
greet,v.,問候,2
growth,n.,生長,2
guard,n./v.,守衛者,2
guava,n.,番石榴,2
guest,n.,客人,2
guide,n./v.,引導者,2
gun,n./v.,槍,2
gymnasium/gym,n.,體育館,2
haircut,n.,理發,2
hall,n.,門廳,2
hamburger/burger,n.,漢堡,2
handle,v./n.,柄,2
handsome,adj.,英俊的,2
hardly,adv.,剛剛,2
heaven,n.,天堂,2
hero/heroine,n.,英雄/女英雄,2
highly,adv.,非常,2
highway,n.,公路,2
hike,n./v.,徒步旅行,2
hip,n.,臀部,2
hippopotamus/hippo,n.,河馬,2
historical,adj.,歷史的,2
hole,n.,孔,2
hop,v./n.,單腳跳,2
host/hostess,n.,主人/女主人,2
huge,adj.,極大的,2
human,adj./n.,人,2
humble,adj.,低下的,2
hunt,v./n.,狩獵,2
hunter,n.,獵人,2
hurry,v./n.,匆忙,2
ideal,adj./n.,理想,2
identity,n.,身份,2
ignore,v.,不理睬,2
ill,adj./adv./n.,疾病,2
image,n.,影像,2
imagine,v.,想像,2
importance,n.,重要,2
impressive,adj.,給人深刻印象的,2
improve(ment),v./(n.),改善,2
include,v.,包括,2
income,n.,收入,2
increase,v./n.,增加,2
indeed,adv.,的確,2
independence,n.,獨立,2
independent,adj.,獨立自主者,2
indicate,v.,顯示,2
individual,adj./n.,人,2
industry,n.,勤勞,2
influence,n./v.,影響力,2
ink,n./v.,墨水,2
insist,v.,堅持,2
instance,n.,建議,2
instant,adj./n.,立即,2
instead,adv.,作為替代,2
instruction,n.,指令,2
instrument,n.,工具,2
internal,adj.,內在的,2
international,adj.,國際的,2
Internet/internet,n.,網際網路,2
introduce,v.,介紹,2
introduction,n.,介紹,2
iron,n./v./adj.,鐵,2
jam,n./v.,果醬,2
jog,v./n.,輕推,2
joint,adj./n.,連接處,2
journal,n.,日記,2
judge,n./v.,法官,2
judgment/judgement,n.,判斷；判決,2
justice,n.,正義,2
keeper,n.,監護人,2
ketchup,n.,蕃茄醬,2
kilogram,n.,千克,2
lack,n./v.,缺乏,2
lady,n.,淑女,2
ladybug,n.,瓢蟲,2
lamb,n./v.,小羊,2
lane,n.,小路,2
lantern,n.,燈籠,2
lap,n.,膝蓋,2
latest,adj.,最近的,2
latter,adj.,後者的,2
law,n.,法律,2
lay,v.,放置,2
leadership,n.,領導能力,2
leaf,n.,葉,2
legal,adj.,法律的,2
lend,v.,借,2
length,n.,長度,2
lens,n.,透鏡,2
liberal,adj.,自由主義者,2
lid,n.,蓋子,2
lift,v./n.,舉起,2
likely,adj./adv.,有可能的,2
limit,n./v.,界限,2
link,n./v.,環,2
liquid,n.,液體,2
listener,n.,收聽者,2
liver,n.,肝髒,2
load,n./v.,負荷,2
local,adj./n.,地方性的,2
lone,adj.,孤單的,2
loss,n.,損失,2
lower,v.,低的,2
luck,n.,運氣,2
magazine,n.,雜志,2
maintain,v.,維持,2
major,adj./n./v.,主修課,2
male,adj./n.,男人,2
manage(ment),v./(n.),管理,2
manager,n.,經理,2
mango,n.,芒果,2
manner,n.,樣子,2
marriage,n.,婚姻,2
marry,v.,與...結婚,2
mask,n./v.,面具,2
mass,n.,塊,2
master,n./v.,主人,2
mat,n.,墊,2
match,n.,比賽,2
mate,n./v.,配偶,2
material,n.,材料,2
mature,adj.,成熟的,2
meaning,n.,意義,2
means,n.,方法,2
measure(ment),v./(n.),測量,2
medical,adj.,醫療的；醫學的,2
melody,n.,曲子,2
membership,n.,會員的資格,2
memory,n.,記憶,2
mention,v./n.,提到,2
message,n.,消息,2
metal,n./adj.,金屬,2
meter,n.,米,2
method,n.,方法,2
midnight,n.,午夜,2
mile,n.,英裡,2
military,adj./n.,軍隊,2
minor,adj./n.,未成年人,2
minority,n.,少數,2
mirror,n./v.,鏡子,2
mix,n./v.,混合物,2
mixture,n.,混合,2
model,n./v.,模型,2
mood,n.,心情,2
mop,n./v.,拖把,2
motion,n.,移動,2
motorcycle,n.,摩托車,2
mug,n.,有柄大杯,2
musical,adj./n.,音樂片,2
musician,n.,音樂家,2
nail,n.,釘子,2
narrow,adj./v.,狹窄部分,2
nation,n.,國家,2
natural,adj.,自然的,2
naughty,adj.,頑皮的,2
nearby,adj./adv.,附近的,2
nearly,adv.,幾乎,2
necessary,adj.,必要的,2
necklace,n.,項鏈,2
needle,n.,針,2
negative,adj./n.,否定,2
neighbor,n.,鄰居,2
neither,adj./adv./pron./conj.,兩者皆不；也不,2
nephew,n.,姪子；外甥,2
nerve,n.,精神,2
nervous,adj.,神經緊張的,2
network,n./v.,網絡,2
niece,n.,侄女,2
nod,n./v.,點頭,2
none,pron./adv.,一點也不,2
noodle,n.,面條,2
nor,conj.,也不,2
northern,adj.,北方人,2
notebook,n.,筆記本,2
novel,n./adj.,小說,2
nut,n.,堅果,2
obey,v.,服從,2
object,n./v.,物體,2
obvious,adj.,明顯的,2
occur,v.,發生,2
ocean,n.,海洋,2
offer,v./n.,給予(物),2
official,adj./n.,官員,2
operate,v.,操作,2
operator,n.,操作員,2
opinion,n.,意見,2
ordinary,adj.,平常的,2
organ,n.,風琴,2
organization,n.,組織,2
origin,n.,起源,2
owner,n.,擁有者,2
pain,n./v.,痛苦,2
painful,adj.,痛苦的,2
painting,n.,畫,2
pajamas,n.,睡衣,2
pale,adj.,蒼白的,2
pan,n.,平鍋,2
panda,n.,大熊貓,2
papaya,n.,番木瓜樹,2
pardon,n./v.,原諒,2
participate,v.,參加,2
particular,adj.,一項(或條、點),2
partner,n.,合夥人,2
password,n.,密碼,2
paste,n./v.,面團,2
path,n.,路徑,2
patient,n./adj.,病人,2
pattern,n./v.,模範,2
peace,n.,和平,2
peaceful,adj.,平靜的,2
peach,n.,桃子,2
peak,n./v.,山峰,2
pear,n.,梨子,2
per,prep.,每一,2
perfect,adj./v./n.,完美的,2
period,n.,時期,2
personal,adj.,私人的,2
personality,n.,個性,2
phrase,n./v.,慣用語,2
pillow,n.,枕頭,2
pizza,n.,比薩餅,2
plain,adj./n.,平原,2
platform,n.,站臺,2
playground,n.,運動場,2
pleasant,adj.,愉快的,2
plus,prep./n./adj.,加上,2
poem,n.,詩,2
poet,n.,詩人,2
poetry,n.,詩,2
poison,n./v.,毒藥,2
policeman/cop,n.,警察,2
policy,n.,政策,2
pop,n./adj.,砰然聲,2
population,n.,人口,2
pork,n.,豬肉,2
port,n.,港口,2
pose,v./n.,姿勢,2
position,n./v.,位置,2
positive,adj./n.,肯定的,2
possibility,n.,可能性,2
post,n./v./adv.,柱,2
postcard,n.,明信片,2
pound,n.,磅,2
powerful,adj.,有力的,2
praise,n./v.,贊美,2
pray,v.,祈禱,2
prayer,n.,祈禱,2
prefer,v.,寧可,2
president,n.,總統,2
press,n./v.,壓,2
pressure,n./v.,壓,2
pride,n./v.,驕傲,2
priest,n.,祭司,2
primary,adj.,最主要者,2
prince/princess,n.,王子/公主,2
principal,adj./n.,校長,2
principle,n.,原則,2
print,n./v.,打印,2
printer,n.,印刷工,2
prison,n.,監獄,2
prisoner,n.,囚犯,2
private,adj.,私人的,2
prize,n./v.,獎賞,2
produce,v./n.,生產品,2
production,n.,制造,2
progress,n./v.,進步,2
project,n.,計劃,2
promise,n./v.,諾言,2
proper,adj.,適當的,2
propose,v.,計劃,2
protect,v.,防衛,2
protective,adj.,給予保護的,2
prove,v.,證明,2
provide,v.,提供,2
pudding,n.,布丁,2
pumpkin,n.,南瓜,2
punish(ment),v./(n.),懲罰,2
pupil,n.,學生,2
puppy,n.,小狗,2
purple,adj./n.,紫色,2
purpose,n.,目的,2
puzzle,n./v.,難題,2
quality,n.,品質,2
quantity,n.,量,2
quiz,n.,考查,2
railroad/railway,n.,鐵路,2
raincoat,n.,雨衣,2
range,n./v.,排,2
rapid,adj.,迅速的,2
rare,adj.,稀罕的,2
rat,n.,鼠,2
rather,adv.,寧可,2
reality,n.,實在,2
realize,v.,了解,2
receive,v.,收到,2
recent,adj.,最近的,2
record,n./v.,記錄,2
recover,v.,重新獲得,2
refrigerator/fridge,n.,冰箱,2
refuse,v.,拒絕,2
regard,n./v.,關心,2
region,n.,區域,2
regular,adj./n.,規則的,2
reject,v.,被拒之人,2
relate,v.,講,2
relation,n.,關系,2
relationship,n.,關系,2
religion,n.,宗教,2
remove,v.,移動,2
rent,n./v.,租金,2
repair,n./v.,修理,2
reply,n./v.,答復,2
require(ment),v./(n.),需要,2
respect,n./v.,尊敬,2
respond,v.,以...回答,2
responsible,adj.,有責任的,2
restroom,n.,洗手間,2
result,n./v.,結果,2
return,v./n.,回來,2
review,n./v.,檢討,2
riches,n.,財富,2
rocky,adj.,巖石的,2
role,n.,角色,2
roof,n./v.,屋頂,2
rooster,n.,公雞,2
royal,adj.,王室,2
rub,v./n.,摩擦,2
rubber,n.,橡皮,2
rude,adj.,粗魯無禮的,2
runner,n.,跑步者,2
safety,n.,安全,2
sail,v./n.,帆,2
sailor,n.,水手,2
salesperson/salesman/ saleswoman,n.,女售貨員,2
salty,adj.,有鹽分的,2
sample,n./v.,樣品,2
sand,n./v.,沙,2
sandwich,n./v.,三明治,2
satisfy,v.,使滿意,2
saw,v./n.,鋸子,2
scare,v./n.,驚嚇,2
scared,adj.,害怕的,2
scene,n.,場,2
schedule,n./v.,時間表,2
scooter,n.,小型摩托車,2
score,n./v.,得分,2
screen,n.,幕,2
seafood,n.,海味,2
search,n./v.,搜尋,2
secondary,adj.,中級的,2
secret,adj./n.,祕密,2
section,n.,區段,2
seek,v.,尋求,2
seem,v.,象是,2
seesaw,n.,蹺蹺板,2
seldom,adv.,不常的,2
select,v./adj.,挑選出來的,2
selection,n.,選擇,2
self,n.,自己,2
selfish,adj.,自私的,2
sense,n./v.,感應,2
sensitive,adj.,敏感的,2
separate,adj./v.,獨立件,2
servant,n.,僕人,2
serve,v.,可作...用,2
settle(ment),v./(n.),定居,2
sex,n.,性別,2
shame,n./v.,羞恥,2
shark,n.,鯊魚,2
sheet,n.,床單,2
shelf,n.,架子,2
shell,n.,貝殼,2
shine,v./n.,光澤,2
shock,n./v.,震動,2
shoot,v./n.,射擊,2
shopkeeper,n.,零售商,2
shore,n.,海岸,2
shot,n.,發射,2
shut,v./adj.,關閉,2
shy,adj.,驚跳,2
sidewalk,n.,人行道,2
silence,n./v.,沉默,2
silent,adj.,沉默的,2
silly,adj.,愚蠢的,2
silver,n./adj.,銀,2
similar,adj.,相似的,2
simply,adv.,簡單地,2
single,adj./n./v.,單身的,2
skill,n.,技術,2
skilled,adj.,熟練的,2
skin,n.,皮膚,2
sleepy,adj.,困乏的,2
slide,n./v.,滑,2
slip,v./n.,滑,2
slipper(s),n.,拖鞋,2
smooth,adj./v.,平滑的,2
snack,n./v.,小吃,2
snail,n.,蝸牛,2
snowy,adj.,多雪的,2
soap,n./v.,肥皂,2
soccer,n.,英式足球,2
social,adj.,社會的,2
society,n.,社會,2
sock(s),n.,短襪,2
soda,n.,蘇打,2
soft,adj.,軟的,2
soil,n.,土壤,2
solution,n.,解決,2
solve,v.,解決,2
somewhat,adv.,有點；稍微,2
sort,n./v.,種類,2
soul,n.,靈魂,2
sour,adj./n./v.,酸的,2
source,n.,來源,2
southern,adj.,南方人,2
soybean,n.,大豆,2
speaker,n.,說話人,2
speech,n.,演講,2
speed,n./v.,速率,2
spelling,n.,拼,2
spider,n.,蜘蛛,2
spirit,n.,精神,2
spoon,n.,匙,2
sport,n./v.,運動,2
spot,n./v.,汙點,2
spread,v./n.,傳播,2
stage,n./v.,階段,2
stamp,n./v.,印,2
standard,adj./n.,標準,2
state(ment),v./(n.),陳述,2
steak,n.,牛排,2
steel,n./v.,鋼,2
step,n./v.,步驟,2
stick,v./n.,棍,2
stomachache,n.,胃痛,2
stone,n./v.,石頭,2
storm,n./v.,暴風雨,2
stranger,n.,陌生人,2
strawberry,n.,草莓,2
stream,n./v.,水流,2
stress,n./v.,壓力,2
stretch,n./v.,伸展,2
strict,adj.,嚴厲的,2
strike,n./v.,罷工,2
struggle,n./v.,鬥爭,2
style,n./v.,風格,2
subway/underground/ metro,n.,地鐵,2
succeed,v.,成功,2
success,n.,成功,2
such,adj./pron.,如此的,2
sudden,adj./n.,突然,2
suggest,v.,提議,2
suit,n./v.,套裝,2
suitable,adj.,適當的,2
super,adj./adv.,極好的；超級的,2
supper,n.,晚餐,2
supply,n./v.,補給,2
support,n./v.,支持,2
suppose,v.,推想,2
surf,v.,海浪,2
surface,n./v.,面,2
survival,n.,生存,2
survive,v.,生存；倖存,2
swallow,v./n.,燕子,2
sweater,n.,毛衣,2
sweep,v.,掃除,2
swim,v./n.,遊泳,2
swimsuit,n.,遊泳衣,2
swing,n./v.,搖擺,2
switch,n./v.,開關,2
symbol,n.,符號,2
system,n.,系統,2
tale,n.,故事,2
target,n./v.,目標,2
task,n./v.,工作,2
tax,n./v.,稅,2
teapot,n.,茶壺,2
tear,n./v.,淚滴,2
technology,n.,技術,2
teens,n.,十三歲到十九歲,2
temperature,n.,溫度,2
term,n./v.,術語,2
terrorism,n.,恐怖主義,2
terrorist,adj.,恐怖分子,2
text,n.,文本,2
textbook,n.,教科書,2
therefore,adv.,因此,2
thief,n.,小偷,2
thirsty,adj.,口渴的,2
thought,n.,想法,2
throughout,prep./adv.,到處,2
thunder,n./v.,雷,2
thus,adv.,如此,2
till,conj./prep.,直到,2
tiny,adj.,很少的,2
tire,v./n.,輪胎,2
tissue,n.,薄的織物,2
title,n./v.,頭銜,2
toast,n./v.,吐司,2
tofu,n.,豆腐,2
tone,n.,音調,2
tongue,n.,舌,2
toothache,n.,牙痛,2
toothbrush,n.,牙刷,2
tour,n./v.,旅遊,2
toward/towards,prep.,向,2
track,n./v.,軌跡,2
trade,n./v.,貿易,2
tradition,n.,傳說,2
traditional,adj.,傳統的,2
trap,n./v.,圈套,2
trash,n./v.,垃圾,2
travel,n./v.,旅行,2
treasure,n./v.,寶物,2
trial,n.,審判,2
triangle,n.,三角形,2
trick,n./v.,詭計,2
true,adj./adv./v.,真實的,2
trust,v./n.,信任,2
truth,n.,事實,2
tube,n.,管,2
turtle,n.,海龜,2
typhoon,n.,臺風,2
typical,adj.,典型的,2
ugly,adj.,醜陋的,2
umbrella,n.,傘,2
unit,n.,單位,2
universe,n.,宇宙,2
university,n.,大學,2
unless,conj.,除非,2
upload,v.,上傳,2
upon,prep.,在...之上,2
upper,adj.,上面的,2
upset,adj./v./n.,弄翻的,2
upstairs,adv./adj./n.,樓上的,2
used,adj.,使用過的,2
user,n.,使用者,2
usual,adj.,平常的,2
vacation,n./v.,假期,2
valley,n.,山谷,2
valuable,adj.,有價值的,2
value,n./v.,價值,2
victory,n.,勝利,2
view,n./v.,視野,2
village,n.,村莊,2
vote,n./v.,投票,2
waist,n.,腰部,2
waiter/waitress,n.,侍者,2
wallet,n.,皮夾,2
war,n.,戰爭,2
wash,v./n.,洗,2
waste,n./v.,浪費,2
watermelon,n.,西瓜,2
wealth,n.,財富,2
wedding,n.,婚禮,2
weekday,n.,平日；工作日,2
weigh,v.,稱...重量,2
weight,n.,重,2
western,adj./n.,西方人,2
whale,n.,鯨,2
whatever,adj./pron.,無論什麼,2
wheel,n.,輪子,2
whenever,conj./adv.,每當,2
wherever,adv./conj.,無論哪裡,2
whisper,n./v.,耳語,2
whoever,pron.,任何人,2
whole,adj./n.,全部,2
whom,pron.,誰,2
width,n.,寬度,2
wild,adj./adv./n.,荒野,2
willing,adj.,樂意的,2
windy,adj.,多風的,2
wine,n.,葡萄酒,2
wing,n.,翅膀,2
wire,n.,電線,2
within,prep./adv.,內部,2
wolf,n.,狼,2
wonder,v./n.,奇跡,2
wood(s),n.,木頭,2
wooden,adj.,木制的,2
wool,n.,羊毛,2
workbook,n.,輔助練習冊,2
worm,n./v.,蟲,2
worse,adj./adv./n.,更壞的事,2
worst,adj./adv./n.,最壞,2
worth,adj./n.,價值,2
wound,n./v.,創傷,2
yam,n.,山藥,2
youth,n.,青年；青春,2
zebra,n.,斑馬,2
aboard,prep./adv.,在船上,3
acceptable,adj.,可接受的,3
accurate,adj.,正確的,3
ache,n./v.,疼痛,3
achieve(ment),v./(n.),完成,3
additional,adj.,附加的,3
admire,v.,贊美,3
advanced,adj.,在前的,3
advantage,n.,優點,3
adventure,n.,冒險,3
advertise(ment)/ad,v./(n.),廣告；宣傳,3
advise,v.,勸告,3
adviser/advisor,n.,顧問,3
afford,v.,買得起,3
afterward/afterwards,adv.,後來；之後,3
agriculture,n.,農業,3
airline,n.,航線,3
alley,n.,小路,3
almond,n.,杏仁,3
alphabet,n.,字母,3
amaze(ment),v./(n.),使大為吃驚,3
ambassador,n.,大使,3
ambition,n.,野心,3
ambulance,n.,救護車,3
angel,n.,天使,3
announce(ment),v./(n.),宣布,3
anxious,adj.,憂慮的,3
anyhow,adv.,無論如何,3
apart,adv.,成零碎,3
apologize,v.,道歉,3
appeal,n./v.,懇求,3
approve,v.,贊同,3
apron,n.,圍裙,3
armed,adj.,有扶手的,3
arrest,n./v.,逮捕,3
ash,n.,灰,3
aside,adv.,小聲說的話,3
assist,v.,幫助,3
assistant,n.,助手,3
assume,v.,假定,3
athlete,n.,運動員,3
attitude,n.,態度,3
attract,v.,吸引,3
attractive,adj.,吸引人的,3
audience,n.,聽眾,3
automatic,adj.,自動手槍,3
automobile/auto,n.,汽車,3
avenue,n.,大街,3
awake,adj./v.,醒著的,3
awaken,v.,喚醒,3
award,n./v.,獎品,3
aware,adj.,知道的,3
awful,adj.,可怕的,3
